username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Anthony Larme 🇦🇺,274341323,"Brisbane, Australia",2023-01-26 07:53:31,"""I love it. Well done gentlemen. Happy Australia day to all, and God bless.""  https://t.co/iBBsWtrHhU",0,Twitter Web App,
Alison Courtice,611448777,"Brisbane, Queensland",2023-01-26 01:59:34,"Scripture Union's stated mission is unachievable if can't hire ONLY Christains.
'Our mission is to bring God’s love… https://t.co/D6qX8Xa4mk",3,Twitter Web App,
"Jack of all trades, Master of none.",1586280986484310017,"Brisbane, Queensland",2023-01-26 01:26:45,"@abcnews Christ’s social circle included prostitutes, Judas &amp; many other elements of what some consider as “bad peo… https://t.co/Sm776jQN21",0,Twitter for iPhone,
Malcolm Ellis,2733971311,Brisbane,2023-01-26 01:16:32,@abcnews don't think God cares who you love but He has strong opinions on Sodomy as He made clear in antiquity,0,Twitter for Android,
eden,1035492966012354560,"Brisbane, Queensland",2023-01-25 22:27:57,"@faeriecarcass oh my god ive had this happen i hate it so much

the guy who does the narrating for literally all of… https://t.co/w5lIRNGfY4",0,Twitter for iPhone,
Roi Pronto,331870187,Saint Lucia,2023-01-25 18:55:48,"Other than that 😂 Live life, Love god.",0,Twitter for iPhone,
Foo Foo Froodle,1201374827891740672,Brisbane Australia,2023-01-25 14:22:48,@ZelenskyyUa @OlafScholz Oh for the love of God! Just give up already.. you've lost ! And stop begging! https://t.co/tbl88Stp5V,1,Twitter for Android,
@Mark's Little World,1277545015351275522,Meanjin Country (Brisbane),2023-01-25 09:44:31,"He gave her a cruel 6 month bridging visa, then put her in detention, despite being married. THIS is the lack of hu… https://t.co/C2McFKvzj5",6,Twitter for Android,
Neill King,570472797,"Brisbane, Queensland",2023-01-25 05:24:43,"Yes, God killed everyone on earth (if you believe this). 

Later He said ""thou shall not kill"" &amp; ""thou shall not st… https://t.co/ojPbbEV3Ac",0,Twitter Web App,
Anthony Larme 🇦🇺,274341323,"Brisbane, Australia",2023-01-25 03:51:02,"""Kanye has a right to say God commands we love everyone with no exceptions. Yeah radical. Yes, also biblical. We mu… https://t.co/cCu1sJbf0D",0,Twitter Web App,
Joseph d'Urberville,2302305006,"Brisbane, Queensland,Australia",2023-01-25 00:55:21,"In other words, screw being a good person! In their own words... #atheist #atheism #atheistrollcall #atheistpics… https://t.co/CutkcmFwrd",0,Twitter Web App,
Craig Ireland 🌏🇦🇺,89329125,"Brisbane, Queensland",2023-01-24 23:08:17,"""Therefore, brethren, be even more diligent to make your call and election sure, for if you do these things you wil… https://t.co/UzmRyhPxtu",0,Twitter for Android,
WJS,1611321764,Saint Lucia,2023-01-24 22:06:25,You gotta love me,0,Twitter for iPhone,
MursieSFM,1411584486429532170,,2023-01-24 21:30:55,@metal_man418 Jesus Christ this is beautiful,0,Twitter for iPhone,
Putoko Tafia,1488468041088536576,"Brisbane, Queensland",2023-01-24 20:01:00,@Cobratate There is power in the Name of Jesus Christ,0,Twitter for iPhone,
Bron d'Arc,1340909966350110722,Brisbane,2023-01-24 13:07:55,"@rgsrwwatch @frfrankpavone @LifeNewsHQ Jesus would do just like us - protect the child, love the mother.",0,Twitter Web App,
Aaron,12911172,"Brisbane, Australia",2023-01-24 12:57:17,@flabberdacks Jesus christ that's jason bourne,0,Twitter for iPad,
princess peach,1393475364588986368,"Brisbane, Queensland",2023-01-24 12:03:50,tsitsipas i love you my little long haired greek god,0,Twitter for iPhone,
Zane Doggo @ times A Big Cat 😻,2934264482,"Brisbane, Queensland",2023-01-24 11:06:03,@Muttasaur Oh god what a tough choice I love Kytt but Maple may just have the edge 😍,0,Twitter for Android,
Rhys 📼,17331774,"Brisbane, Queensland",2023-01-24 09:01:06,@LostTurntable love the stolen Hajime Sorayama (god bless that man),0,TweetDeck,
Ryan,247437149,"Brisbane, Australia",2023-01-24 07:42:07,"@dspillane1 @_evelynrae With Christ’s death and resurrection, of what relevance is Israel to a Christian?",0,Twitter for iPhone,
Lee,18210569,"Brisbane, Queensland",2023-01-24 07:41:14,@YaThinkN Jesus Christ… I am babysitting that day 😭,0,Twitter for iPad,
Book of Bogan,701700498034790401,Brisbane,2023-01-24 07:08:44,"@EricSpracklen Jesus christ, homie just executed a dude.",0,Twitter Web App,
