username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Jarred,106333955,"Brisbane, Queensland",2023-01-23 01:52:58,"@PressStartAU God I hate this cover. Surely they could’ve made something cleaner, maybe some proper artwork and the… https://t.co/2mJu8khubq",0,Twitter for iPhone,
Bron d'Arc,1340909966350110722,Brisbane,2023-01-23 01:35:07,@ChrisRamon11 @OliveOwl6 @Joelercoaster16 @belle379 @LilaGraceRose You are incorrect. They were known as followers… https://t.co/zUgUt2ilt8,0,Twitter Web App,
Foo Foo Froodle,1201374827891740672,Brisbane Australia,2023-01-22 20:59:44,@Partisangirl He hits the nail on the head! Love him! God bless him and Syria! 💞,0,Twitter for Android,
Ruin ✨🌿🦌,1218930510,"Brisbane, Queensland",2023-01-22 19:40:31,My todoist is deeply in the red because I was in too much pain to move for most of yesterday and I'm so far behind… https://t.co/YCLs4A9KfD,0,Twitter Web App,
"Maria Roussakis, MLT, MSc",3234369703,"Brisbane, Queensland",2023-01-22 13:20:43,@A_Tweets_Stuff I've stopped planning my life after the abrupt turn of events that made me move to Australia. Was q… https://t.co/MA5WVomO1f,0,Twitter for Android,
Steward Suelin🎁✨💁‍♀️ 1 Pet 4:10,302911290,Saint Lucia,2023-01-22 10:41:55,"The ancient Greeks had several definitions of #love. The four most commonly used are:

Eros, or sexual passion

Phi… https://t.co/d03bMnpjeO",0,Twitter Web App,
Joel,1229927108484296705,"Brisbane, Queensland",2023-01-22 10:11:50,@TheChrisWray @MalcontentmentT @clashreport If you think Russia is the bad ones in this war then Jesus Christ you n… https://t.co/W6jLlTPNvL,0,Twitter for iPhone,
Emma Hopkins,1338002269053145088,"Brisbane, Queensland",2023-01-22 07:39:51,"@MichaelWarbur17 By god I love this movie.  As kids, we’d watch it over and over 🤣🤣",0,Twitter for iPhone,
RichBOSS🙏🙏📌,225834638,Brisbane🙏,2023-01-22 06:48:29,"@ire_culture But Jesus love is for everyone nau..
Or perhaps you can gift me those beautiful things you see https://t.co/qVbRh74BWO",0,Twitter for Android,
CynicalKiwi 🇦🇺/🇳🇿,1231498623365500928,Brisbane ,2023-01-22 06:04:51,"@brianstelter @elonmusk please, for the love of God.

Bugger off.",0,Twitter Web App,
🌹|☞Tessa Jed☜|🌹,805664077833875456,"Brisbane, Queensland",2023-01-22 04:29:23,"@Adverse_Dawn God I love you, and all I want is for you to have a safe space of your own where shit like THIS doesn… https://t.co/XC4ZQJZFPC",0,Twitter for Android,
Jack Della Enjoyer,813568858929778689,Brisbane,2023-01-22 02:46:15,Look I don’t actually care about shogun. But Jesus Christ potieria is a prick for doing that celebration after beat… https://t.co/M2Uw565GZ0,0,Twitter for iPhone,
ArPat,1344947787041890305,"Redcliffe,Queensland",2023-01-22 02:04:18,@_evelynrae God is LOVE,0,Twitter for iPhone,
WJS,1611321764,Saint Lucia,2023-01-22 01:46:01,"I’m tipsy.. I hate to say that 

Sounds sassy",0,Twitter for iPhone,
Steward Suelin🎁✨💁‍♀️ 1 Pet 4:10,302911290,Saint Lucia,2023-01-22 01:05:04,"The LORD your #God in your midst, The Mighty One, will save; He will rejoice over you with gladness, He will quiet… https://t.co/a10nRDFilq",0,Twitter Web App,
𝓑𝓻𝓸𝓽𝓱𝓮𝓻 𝓓𝓸𝓬💉x4 😷🪃#VoteYes,1495917966344724480,Brisbane Qld,2023-01-22 00:06:11,"@_reconstructing 3/
My walk with God, my struggles with doubt, have only caused me to depend on the faithfulness of… https://t.co/vyXgM2RT09",0,Twitter Web App,
pic uh chu,1049681232420847617,Saint Lucia,2023-01-21 23:36:14,"I love my real bitches
Fuck the fake hoes
I be asking God
' why he even make those '",0,Twitter for Android,
Charlotte H-V,152999391,"Brisbane, Queensland",2023-01-21 23:06:59,"@SharkSmirk @lalalita____ That's when you say oh my god I love these, keep the tags and hock or return the shit and… https://t.co/MwnDXJnooK",0,Twitter for Android,
Hermit Dragon,67855832,"Brisbane, Queensland",2023-01-21 19:48:04,I know people were all one at some point in FF14 but god I hate having to deal with sprouts. Just had a shocker of… https://t.co/MGcGPRIJlE,0,Twitter Web App,
Damir Mitrovic,47056622,"Brisbane, Australia",2023-01-21 13:52:05,"I give no fucks about Pathfinder. Enjoy what you enjoy, but for the love of god get out of my face.",0,Twitter Web App,
·.·★ Asteria Irkrath ★·.·,1127017119483170816,"Brisbane, Queensland",2023-01-21 13:51:03,@aikawaii_S2 @Bugaliciaz Oh my god I am absolutely in love with this. This is absolutely gorgeous!,0,Twitter Web App,
Jason Clark,1048771632213291009,"Brisbane, Australia ",2023-01-21 13:45:57,@annoyednobody @YouHateGabe_ @TheNBACentral You’re completely correct except he from New Zealand not australia even… https://t.co/YoFRXplaYA,0,Twitter for iPhone,
Jason Devonshire,1339772824383234051,"Brisbane, Queensland",2023-01-21 13:24:56,BREAKING NEWS : George Santos finally tells the truth about himself. He is our lord and saviour Jesus Christ return… https://t.co/CyarY5cY44,0,Twitter for Mac,
Foo Foo Froodle,1201374827891740672,Brisbane Australia,2023-01-21 11:41:44,@DVATW No it's not..God is love! Period!,0,Twitter for Android,
Malcolm Ellis,2733971311,Brisbane,2023-01-21 03:39:51,@KEVINskorner777 @sofinique1 they shall long to die and death shall flee from them as seven Angels poor out the bow… https://t.co/I7u2vcd2na,0,Twitter for Android,
pat,192211537,brisbane,2023-01-21 03:05:06,I love Gintama but god it really is just anime Family Guy at some points,0,Twitter Web App,
Damien Wool,261138887,Brisbane - Australia,2023-01-20 19:42:02,"“May God shower his peace upon you, …may the blessings of faith and love fill your hearts, …abundant grace will be… https://t.co/XDu0sFns4P",0,Twitter for iPhone,
Pere Pomana,1333936695587135489,"Brisbane, Queensland",2023-01-20 10:09:06,@RichardJWood Big Ambition to out give God..love it,0,Twitter for Android,
That Beard Guy 🇦🇺,774959066,"Brisbane, Queensland",2023-01-20 08:05:01,@HannahDCox @LayahHeilpern Has Jesus in bio but tries to attack someone with an Abrahamic belief based on viewpoint… https://t.co/t0W0U8OBx1,0,Twitter for Android,
Animator King Liam,701959520067592192,"Brisbane, Queensland",2023-01-20 06:22:58,@jeremy_pires the spheres have me wondering if its a 3d anim with an awesome texture/filter (which I love if it is)… https://t.co/2ZX04O6Zuk,0,Twitter Web App,
Steward Suelin🎁✨💁‍♀️ 1 Pet 4:10,302911290,Saint Lucia,2023-01-20 03:30:34,"Job 22:28
Thou shalt also decree a thing, &amp; it shall be established unto thee: &amp; the light shall shine upon thy way… https://t.co/AkaF6hG3N4",0,Twitter Web App,
MsRainbow,1269938511060193282,Brisbane,2023-01-20 03:07:35,@lesstenny Because Sky News are the conservative shit posting service and they hate anyone who is a compassionate l… https://t.co/hZsUO5nIS9,0,Twitter for Android,
@CookerDetector,1587997160880033792,Brisbane,2023-01-20 02:40:36,@999inverted @RonFancy Jesus Christ. You have a weak and straight pair of shoes then. https://t.co/gjApWUaKmf,0,Twitter Web App,
Chelsea ⚡️,1580773312715952128,"Brisbane, Queensland",2023-01-19 22:15:40,@yubcri Jesus Christ to think I’ve been a fan of hers for so long respect completely lost in minutes,0,Twitter for iPhone,
BENMSMSMSM,825268333930897408,"Brisbane, Queensland",2023-01-19 17:54:53,@ThePopTingz Love the show but the acting my god it’s awful !! And 90% of the characters are so irritating Aki  max… https://t.co/CEoTEnW4oA,0,Twitter for iPhone,
Smokey Dawson,48629886,"Brisbane, Australia",2023-01-18 21:49:56,"@3004Carol @Superboot55 God and Jesus just gave the message do no evil, but that has been perverted to control, dom… https://t.co/ELdICwiGm3",0,Twitter for Android,
bwinko,905440049826852864,Saint Lucia,2023-01-18 21:41:01,jesus christ casemiro 🤦🏽‍♂️,0,Twitter for iPhone,
Grampy,112933381,"Brisbane, Queensland",2023-01-18 12:08:31,"@TheKennyDevine I used to hate that driving through the outback pre digital. You had 2 choices on the radio, horse… https://t.co/0YD9XYU9Lm",0,Twitter Web App,
Keelan 🇦🇺,1296023807602208768,"Brisbane, Australia",2023-01-18 12:03:23,"What a lot of people don't know about me is that before I started streaming, I used to trophy hunt video games on P… https://t.co/SUVSVybd8H",0,Twitter for Android,
An Aldi Knock-Off Ben,1540842511,"Brisbane, Australia",2023-01-18 09:26:37,"@iamnotgod216 @PRGuy17 @DaleHof1234 I love how your name is “I am not god”, because that is so true. Because even g… https://t.co/lardEyazHD",0,Twitter for iPhone,
Mark Tramby,272704749,Brisbane,2023-01-18 08:51:10,"@CathMurphySport @abcsport God damn I love your accent Catherine , listened to you at lunchtime reporting in the ra… https://t.co/1pTrcLvdwo",0,Twitter for iPhone,
Heatwave 999,1084943764093730816,"Brisbane, Queensland",2023-01-18 08:13:34,"@KSI Nah come brissy for sure, been watching you since 2017 Ik it’s not that long but god pls come brissy, same wit… https://t.co/eeFbzzvIr2",0,Twitter for iPhone,
Spudda028,314241659,"Brisbane, Queensland",2023-01-18 07:56:58,"@Ratsack14 I take it all back - I love Ips with rail out 10m - winner , exacta , tri x 200 % to close out a bloody… https://t.co/wdTYVnJ53j",0,Twitter for iPhone,
Rod Best,447418588,"Brisbane, Australia",2023-01-18 07:19:16,@Synergy1Radio Love the support Andr’e. Wishing you God’s best for your life for 2023.,0,Twitter for iPad,
Craig Ireland 🌏🇦🇺,89329125,"Brisbane, Queensland",2023-01-18 06:07:43,"""The man who knows his own emptiness can receive abundance of knowledge, and wisdom, and grace, from Christ; but he… https://t.co/enjrvBqVf5",2,Twitter for Android,
Cannology,1603278215174553600,"Brisbane, Queensland",2023-01-18 05:10:21,@SolBrah Trust in Christ. Everything else comes easier once you turn from your old life and instead focus on God.,0,Twitter for iPhone,
Josh aka xinfinity,43674047,"Brisbane, Australia",2023-01-18 02:42:21,"Can't platinum A Thief's End, because it has multilayer trophies tied to it. For the love of God, can we stop doing that.",0,Twitter for Android,
Wilson/Willis,864435836,"Brisbane, Queensland",2023-01-18 01:26:24,@smirkywirky How in the heck is “bing chilling” racist? People just hate for no reason I swear to god,0,Twitter for iPhone,
Dave Miers ن,8278,"Brisbane, Queensland",2023-01-18 00:49:06,"and obeyed to the ends of the earth; through Jesus Christ our Lord, who with you and the Holy Spirit lives and reig… https://t.co/I3KsMu3tSN",0,Twitter Web App,
Dave Miers ن,8278,"Brisbane, Queensland",2023-01-18 00:39:36,"// THE RADIANCE OF CHRIST’S GLORY

“Almighty God, whose Son our Savior Jesus Christ is the light of the world: Gran… https://t.co/3SvqF5gQEa",0,IFTTT,
